AAPL,,,,,MSFT,,,,,IBM,,,,
Date,High,Low,Close,Volume,Date,High,Low,Close,Volume,Date,High,Low,Close,Volume
12/12/1980,0.5156,0.5134,0.5134,117258400,3/13/1986,0.1026,0.0887,0.0974,30758400,1/2/1980,16.125,15.625,15.625,1648000
12/15/1980,0.4888,0.4866,0.4866,43971200,3/14/1986,0.1026,0.0974,0.1008,7852896,1/3/1980,15.875,15.3125,15.875,2441200
12/16/1980,0.4531,0.4509,0.4509,26432000,3/17/1986,0.1035,0.1008,0.1026,33036768,1/4/1980,15.9375,15.75,15.8438,1891200
12/17/1980,0.4643,0.4621,0.4621,21610400,3/18/1986,0.1035,0.0991,0.1,66403296,1/7/1980,15.8438,15.6563,15.7813,1415600
12/18/1980,0.4777,0.4755,0.4755,18362400,3/19/1986,0.1008,0.0974,0.0982,47846304,1/8/1980,16.875,15.6563,16.8438,2837600
12/19/1980,0.5067,0.5045,0.5045,12157600,3/20/1986,0.0982,0.0948,0.0956,58377600,1/9/1980,17,16.3438,16.3438,3232000
12/22/1980,0.5313,0.529,0.529,9340800,3/21/1986,0.0974,0.0913,0.093,59932800,1/10/1980,16.9375,16.5,16.875,2121600
12/23/1980,0.5536,0.5513,0.5513,11737600,3/24/1986,0.093,0.0895,0.0904,65222496,1/11/1980,17.0625,16.4063,16.75,2180000
12/24/1980,0.5826,0.5804,0.5804,12000800,3/25/1986,0.0922,0.0895,0.0922,32051232,1/14/1980,16.8125,16.5625,16.7188,1590800
12/26/1980,0.6362,0.6339,0.6339,13893600,3/26/1986,0.0956,0.0913,0.0948,22729536,1/15/1980,17.5625,16.625,17.5313,3750000
12/29/1980,0.6451,0.6429,0.6429,23290400,3/27/1986,0.0965,0.0948,0.0965,16828704,1/16/1980,17.7188,17.4375,17.5,6008000
12/30/1980,0.6295,0.6272,0.6272,17220000,3/31/1986,0.0965,0.0939,0.0956,12860928,1/17/1980,17.5938,17.3125,17.3125,2452000
12/31/1980,0.6116,0.6094,0.6094,8937600,4/1/1986,0.0956,0.0948,0.0948,11078496,1/18/1980,17.4375,17.1563,17.4063,2612400
1/2/1981,0.6205,0.6161,0.6161,5415200,4/2/1986,0.0974,0.0948,0.0956,26985600,1/21/1980,17.4688,17.25,17.25,1488800
1/5/1981,0.6049,0.6027,0.6027,8932000,4/3/1986,0.0991,0.0965,0.0965,23017536,1/22/1980,17.4688,17.25,17.25,1688400
1/6/1981,0.5781,0.5759,0.5759,11289600,4/4/1986,0.0974,0.0965,0.0965,26553600,1/23/1980,17.8125,17.25,17.8125,2120800
1/7/1981,0.5536,0.5513,0.5513,13921600,4/7/1986,0.0974,0.093,0.0948,16540704,1/24/1980,17.875,17.5313,17.6563,2190400
1/8/1981,0.5424,0.5402,0.5402,9956800,4/8/1986,0.0974,0.0948,0.0956,10243296,1/25/1980,17.6875,17.4688,17.5313,1343600
1/9/1981,0.5714,0.5692,0.5692,5376000,4/9/1986,0.0982,0.0956,0.0974,12144096,1/28/1980,18,17.5313,17.75,1456000
1/12/1981,0.5692,0.5647,0.5647,5924800,4/10/1986,0.0991,0.0956,0.0982,13868928,1/29/1980,17.8438,17.3438,17.5938,1430800
1/13/1981,0.5469,0.5446,0.5446,5762400,4/11/1986,0.1017,0.0991,0.1,17203104,1/30/1980,17.6563,17.4063,17.5938,1388400
1/14/1981,0.5491,0.5469,0.5469,3572800,4/14/1986,0.1017,0.1,0.1008,12144096,1/31/1980,17.7813,17.0625,17.1563,2344000
1/15/1981,0.5625,0.558,0.558,3516800,4/15/1986,0.1008,0.0974,0.1008,9292896,2/1/1980,17.375,17.0938,17.3438,1446800
