TUCASEID,TULINENO,EEINCOME1,ERBMI,ERHHCH,ERINCOME,ERSPEMCH,ERTPREAT,ERTSEAT,ETHGT,ETWGT,EUDIETSODA,EUDRINK,EUEAT,EUEXERCISE,EUEXFREQ,EUFASTFD,EUFASTFDFRQ,EUFFYDAY,EUFDSIT,EUFINLWGT,EUSNAP,EUGENHTH,EUGROSHP,EUHGT,EUINCLVL,EUINCOME2,EUMEAT,EUMILK,EUPRPMEL,EUSODA,EUSTORES,EUSTREASON,EUTHERM,EUWGT,EUWIC,EXINCOME1
20150101150018,1,1,31.4,3,1,-1,50,0,0,0,-1,1,2,1,5,2,-1,-1,1, 15503433.374527,2,4,2,60,6,-1,1,2,1,2,-1,-1,2,161,2,0
20150101150053,1,2,25.7,3,3,-1,120,0,0,0,-1,2,2,1,4,1,2,2,1,  3071195.852821,1,4,1,73,6,1,1,2,1,-1,1,2,2,195,-1,0
20150101150071,1,1,29.6,3,1,-1,50,-2,0,0,-1,1,-2,2,-1,1,2,2,1,  5194082.929101,2,5,2,65,6,-1,1,2,1,2,-1,-1,2,178,-1,0
20150101150146,1,3,23.4,3,2,5,95,30,0,0,2,1,1,1,6,1,1,2,1, 13138380.214118,2,2,1,63,6,-1,1,2,1,1,1,4,2,132,-1,0
20150101150147,1,1,35.9,1,1,5,140,5,0,0,1,1,1,2,-1,1,5,1,2,  8496301.910912,2,4,1,70,6,-1,1,2,1,1,1,1,2,250,-1,0
20150101150184,1,1,32.1,3,1,5,45,0,0,0,-1,2,2,1,10,1,1,1,1,  5273977.616545,2,2,2,71,6,1,1,2,1,-1,-1,-1,2,230,2,84
20150101150500,1,1,30.1,3,1,5,105,2,0,0,1,1,1,2,-1,2,-1,-1,1, 10002494.505878,2,2,3,70,6,-1,-1,-1,2,1,1,1,-1,210,-1,0
20150101150523,1,1,33.9,3,1,1,30,32,0,0,-1,2,1,1,4,1,1,2,1,  7520144.277214,2,2,1,72,6,-1,1,2,1,-1,1,2,2,250,2,0
20150101150535,1,2,26.3,3,5,5,60,0,0,0,2,1,2,1,1,1,3,1,1,  5029926.197817,1,4,3,69,6,2,-1,-1,2,1,1,2,-1,178,2,0
20150101150539,1,1,22.6,1,1,-1,90,10,0,0,-1,2,1,1,7,1,3,2,1,  7986006.159153,2,2,3,66,6,-1,1,2,3,-1,2,2,2,140,2,0
20150101150572,1,3,28.3,3,2,-1,150,0,0,0,-1,2,2,2,-1,2,-1,-1,1,  1571676.850731,2,2,1,61,6,-1,2,2,1,-1,1,4,-1,150,-1,0
20150101150578,1,2,22.9,3,5,1,30,5,0,0,-1,1,1,1,8,1,2,1,1,  2419313.011106,1,2,1,62,6,2,1,2,1,2,1,2,1,125,2,0
20150101150601,1,1,-1.0,3,1,-1,80,0,0,-1,-1,2,2,1,3,2,-1,-1,1,  2099785.021995,2,4,1,70,6,-1,1,2,1,-1,1,6,1,-3,2,0
20150101150607,1,2,31.4,3,3,-1,35,0,0,0,2,1,2,2,-1,2,-1,-1,1,  3338511.743935,2,3,1,61,6,1,1,2,1,1,1,1,2,166,2,0
20150101150615,1,2,26.6,3,5,-1,180,0,0,0,-1,2,2,1,6,2,-1,-1,1,  6181948.389388,1,3,2,69,6,2,-1,-1,2,-1,-1,-1,-1,180,-2,0
20150101150628,1,1,21.8,3,1,-1,130,10,0,0,-1,1,1,2,-1,2,-1,-1,1,  3373770.465199,2,3,1,66,6,-1,1,2,1,2,1,2,2,135,-1,0
20150101150641,1,2,29.5,3,5,5,110,0,0,0,-1,1,2,1,3,2,-1,-1,1, 11028495.506318,1,3,1,64,6,2,1,2,1,2,2,1,1,172,2,0
20150101150677,1,1,25.1,3,1,-1,10,35,0,0,-1,1,1,1,7,2,-1,-1,1,  2047238.378108,2,1,1,70,6,-1,1,2,1,2,1,1,2,175,-1,0
20150101150678,1,1,29.3,3,1,5,25,25,0,0,-1,1,1,1,2,1,2,2,1,  4649018.229133,2,2,1,62,6,-1,1,2,3,2,3,1,2,160,-1,0
20150101150697,1,1,27.9,3,1,5,120,10,0,0,-1,1,1,1,4,2,-1,-1,1,  4120611.636305,2,3,1,77,6,-1,1,2,1,2,1,2,2,235,-1,0
20150101150699,1,1,25.3,3,1,5,90,0,0,0,-1,2,2,2,-1,2,-1,-1,1,  6972922.628668,2,3,1,61,6,-1,1,2,1,-1,2,2,2,134,-1,0
20150101150702,1,2,-1.0,3,5,5,315,10,0,-1,-1,2,1,2,-1,1,3,2,1,  2883214.549015,2,1,2,66,6,3,-1,-1,2,-1,-1,-1,-1,-2,2,0
20150101150735,1,1,22.1,3,1,5,105,0,0,0,3,1,2,1,5,1,2,2,1,  8412369.715756,2,1,1,69,6,-1,1,2,1,1,2,4,2,150,2,0
20150101150748,1,1,22.1,3,1,1,85,0,0,0,-1,1,2,1,6,1,2,2,1,  8756012.331094,2,2,1,63,6,-1,1,2,1,2,1,1,2,125,2,0
20150101150756,1,-2,28.1,3,-1,5,155,0,0,0,-1,1,2,1,7,-2,-1,-1,1,  9198230.369874,2,2,2,70,6,-2,2,2,3,2,-1,-1,-1,196,-1,2
20150101150787,1,2,28.0,2,3,-1,135,105,0,0,-1,1,1,1,2,2,-1,-1,1, 16332387.617904,2,4,1,70,6,1,1,2,1,2,2,6,2,195,-1,0
20150101150794,1,1,19.7,3,1,-1,90,20,0,0,-1,2,1,1,5,1,3,1,1, 26443413.399268,2,1,2,66,6,-1,-1,-1,2,-1,-1,-1,-1,122,2,0
20150101150798,1,1,40.5,3,1,-1,25,45,0,0,-1,1,1,1,5,2,-1,-1,1,  6208346.553434,2,3,2,72,6,-1,-1,-1,2,2,-1,-1,-1,299,-1,0
20150101150812,1,2,31.2,3,3,5,35,0,0,0,-1,2,2,1,7,2,-1,-1,1,  6285782.820410,1,3,1,64,6,1,1,2,1,-1,2,4,2,182,-1,0
20150101150818,1,1,30.3,3,1,-1,45,10,0,0,-1,1,1,1,7,1,5,1,1,  1240759.362925,2,3,1,60,6,-1,1,2,1,2,2,6,2,155,-1,0
20150101150850,1,1,27.5,3,1,-1,80,0,0,0,-2,1,2,1,6,1,1,2,1,  6324029.957917,2,3,1,64,6,-1,1,2,1,1,2,4,2,160,-1,0
20150101150852,1,1,29.2,3,1,2,57,0,0,0,-1,2,2,2,-1,2,-1,-1,1,  3766534.866020,2,4,2,68,6,-1,1,2,1,-1,-1,-1,2,192,-1,0
20150101150854,1,1,31.3,3,1,5,30,3,0,0,-1,1,1,1,1,2,-1,-1,1, 17774265.539176,2,2,3,67,6,-1,1,2,1,2,1,1,2,200,-1,0
20150101150870,1,1,26.3,3,1,5,105,0,0,0,-1,1,2,1,1,2,-1,-1,1,  4586306.538043,2,3,1,65,6,-1,1,2,1,2,1,2,2,158,-1,0
20150101150879,1,3,25.8,3,2,-1,20,3,0,0,-1,2,1,1,2,2,-1,-1,1,  7181095.706775,2,2,1,56,6,-1,1,2,1,-1,1,2,2,115,-1,0
20150101150888,1,1,25.7,3,1,5,105,0,0,0,-1,1,2,1,6,2,-1,-1,1, 11885152.685206,2,1,3,68,6,-1,2,2,1,2,1,2,-1,169,2,0
20150101150902,1,1,30.9,3,1,5,180,150,0,0,-1,1,1,1,4,2,-1,-1,1,  1968046.492984,2,3,1,64,6,-1,2,2,1,2,2,1,-1,180,2,0
20150101150908,1,1,23.0,3,1,-1,90,0,0,0,-1,1,2,2,-1,1,1,2,1,  3199743.884872,2,2,1,63,6,-1,1,2,1,2,1,2,2,130,-1,0
20150101150913,1,1,35.5,3,1,-1,30,0,0,0,-1,2,2,1,4,2,-1,-1,1,  1050624.354465,2,1,1,66,6,-1,1,2,1,-1,1,2,2,220,-1,0
20150101150934,1,1,28.3,3,1,5,65,0,0,0,-1,2,2,1,7,1,1,2,1,  8129385.667649,2,1,2,65,6,-1,1,2,3,-1,-1,-1,2,170,-1,0
20150101150949,1,1,-1.0,3,1,5,45,0,0,-1,-1,2,2,1,4,1,1,2,1, 12896895.023474,2,3,1,64,6,-1,1,2,1,-1,1,1,1,-3,2,0
20150101150958,1,1,28.1,3,1,-1,60,0,0,0,-1,1,2,1,1,2,-1,-1,1,  7486307.363397,2,4,1,69,6,-1,1,2,1,2,1,4,2,190,-1,0
20150101150963,1,1,22.5,3,1,-1,45,10,0,0,-1,2,1,2,-1,1,3,1,1,  2380426.146297,2,1,1,65,6,-1,2,2,1,-1,2,3,-1,135,-1,0
20150101150965,1,1,26.6,3,1,5,45,1,0,0,-1,1,1,1,5,2,-1,-1,1,  7218330.806482,2,3,2,69,6,-1,-1,-1,2,2,-1,-1,-1,180,2,0
20150101150989,1,1,31.2,3,1,5,35,5,0,0,1,1,1,2,-1,1,1,1,1,  7827681.791240,2,2,3,71,6,-1,1,2,1,1,1,3,1,224,-1,0
20150101151002,1,1,24.5,3,1,5,30,15,0,0,-1,1,1,1,2,1,2,2,1, 12252887.770049,2,3,1,64,6,-1,1,2,1,2,2,4,1,143,2,0
20150101151007,1,1,23.1,3,1,5,50,45,0,0,2,1,1,1,6,1,4,1,1, 12232119.390233,2,1,2,75,6,-1,-1,-1,2,1,-1,-1,-1,185,2,0
20150101151010,1,1,27.1,3,1,-1,10,2,0,0,-1,1,1,2,-1,1,2,2,1, 13500826.502978,2,2,2,72,6,-2,-1,-1,2,2,-1,-1,-1,200,-1,71
20150101151018,1,1,25.5,3,1,-1,75,20,0,0,-1,1,1,1,7,2,-1,-1,1,  5023105.172388,2,2,1,61,6,-1,1,2,1,2,1,3,1,135,-1,0
20150101151026,1,2,25.8,3,5,-1,45,10,0,0,-1,2,1,1,5,1,1,1,2,  3869327.375371,2,5,1,69,6,2,1,2,1,-1,1,3,2,175,-1,0
20150101151051,1,3,33.1,3,2,-1,70,0,0,0,-1,2,2,2,-1,1,1,2,1,  5956230.120719,2,4,1,66,6,-1,1,2,1,-1,1,1,2,205,-1,0
20150101151071,1,2,18.8,3,5,-1,75,0,0,0,-1,1,2,2,-1,2,-1,-1,2,  1766871.247570,1,3,1,62,6,2,1,2,1,2,1,4,2,103,2,0
20150101151079,1,1,-1.0,3,1,5,110,15,0,-1,-1,1,1,1,4,2,-1,-1,1,  7760534.117932,2,2,1,63,6,-1,1,2,1,2,1,3,2,-5,2,0
20150101151093,1,2,32.1,3,3,5,0,0,0,0,-1,2,2,2,-1,2,-1,-1,1,  8927796.510443,2,3,2,71,6,1,-1,-1,2,-1,-1,-1,-1,230,2,0
20150101151115,1,1,20.7,3,1,5,20,15,0,0,2,1,1,1,3,1,2,2,1,  7617118.236949,2,2,1,67,6,-2,1,2,1,1,2,2,2,132,2,72
20150101151125,1,1,26.3,3,1,4,120,0,0,0,-1,1,2,1,14,2,-1,-1,1, 15533872.086365,2,2,1,59,6,-1,1,2,1,2,1,3,1,130,-1,0
20150101151129,1,1,26.5,3,1,3,120,10,0,0,-1,2,1,1,3,1,1,1,1,  4182113.302321,2,3,1,66,6,-1,1,2,1,-1,1,3,1,164,-1,0
20150101151131,1,3,26.6,3,2,5,20,0,0,0,-1,2,2,2,-1,1,4,2,1, 40097510.506008,2,3,1,65,6,-1,-1,-1,2,-1,1,1,-1,160,-1,0
20150101151142,1,1,43.8,3,1,-1,0,40,0,0,2,1,1,2,-1,1,4,1,1,  2250338.660374,2,2,1,67,6,-1,1,2,1,1,1,2,2,280,2,0
20150101151145,1,3,32.3,3,2,5,30,0,0,0,-1,2,2,2,-1,2,-1,-1,1,  3706333.281877,2,2,1,70,6,-1,-1,-1,2,-1,1,2,-1,225,2,0
